City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,eunice,30.4944,-92.4176,16.94,83,2,2.47,US,1682934259
329,van buren,35.4368,-94.3483,8.01,72,0,3.09,US,1682934435
330,aldama,22.9167,-98.0667,19.72,75,0,1.37,MX,1682934436
331,guelendeng,10.9176,15.5501,36.45,28,97,2.83,TD,1682934436
332,tosontsengel,48.7567,98.2839,2.99,34,96,12.17,MN,1682934437
333,karratha,-20.7377,116.8463,28.53,27,100,0.26,AU,1682934437
334,westport,41.1415,-73.3579,10.99,87,40,5.66,US,1682934438
335,svetlyy,54.675,20.1347,11.03,57,48,4.31,RU,1682934439
336,lashio,22.9333,97.75,31.97,30,72,1.1,MM,1682934440
337,hasaki,35.7333,140.8333,18.45,74,97,3.38,JP,1682934238
338,ancud,-41.8697,-73.8203,8.14,83,100,2.39,CL,1682934044
339,itoman,26.1247,127.6694,23.01,62,75,7.2,JP,1682934442
340,iranduba,-3.2847,-60.1861,25.16,98,99,0.71,BR,1682934443
341,el fasher,13.6279,25.3494,33.6,12,83,5.4,SD,1682934443
342,takoradi,4.8845,-1.7554,28.9,74,95,4.35,GH,1682934444
343,boguchany,58.3814,97.4531,3.77,78,100,3.01,RU,1682934445
344,korla,41.7597,86.1469,26.47,12,39,5.82,CN,1682934446
345,bairnsdale,-37.8333,147.6167,12.25,93,96,2.13,AU,1682934446
346,nemuro,43.3236,145.575,6.43,84,22,3.16,JP,1682934447
347,praia da vitoria,38.7333,-27.0667,16.14,82,40,8.88,PT,1682934448
348,gaiman,-43.2897,-65.4929,7.74,45,0,8.04,AR,1682934448
349,novomykolayivka,47.9781,35.9102,10.04,76,100,4.39,UA,1682934449
350,khonsa,27.0167,95.5667,22.11,68,69,1.69,IN,1682934449
351,san antonio de pale,-1.4014,5.6325,27.45,76,85,1.83,GQ,1682934450
352,paramonga,-10.6667,-77.8333,22.96,88,100,5.11,PE,1682934451
353,camana,-16.6228,-72.7111,19.48,86,95,3.03,PE,1682934451
354,pusad,19.9,77.5833,33.6,30,44,1.66,IN,1682934452
355,vanimo,-2.6741,141.3028,26.73,84,4,1.56,PG,1682934453
356,kinwat,19.6333,78.2,33.85,31,33,0.71,IN,1682933979
357,kapa'a,22.0752,-159.319,24.18,85,40,5.66,US,1682934454
358,zhongshu,24.5167,103.7667,22.25,50,93,4.42,CN,1682934455
359,dhidhdhoo,6.8833,73.1,28.43,78,100,8.69,MV,1682934456
360,la oroya,-11.5189,-75.8994,5.55,86,65,1.48,PE,1682934456
361,china,25.7,-99.2333,20.12,60,25,3.42,MX,1682934457
